jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.070135297,1.173053502,70,0.35,807.1101247,11.53014464,-1074.315057,-15.34735796
0.063957693,1.120200845,75,0.35,805.5406567,10.74054209,-1079.958338,-14.39944451
0.058333585,1.069815376,80,0.35,804.4449816,10.05556227,-1084.784129,-13.55980161
0.053225781,1.021904994,85,0.35,803.3363629,9.451016034,-1085.780114,-12.77388369
0.048592388,0.976413156,90,0.35,802.8720961,8.920801068,-1082.967484,-12.03297204
0.087155271,1.307664491,70,0.35,1008.922205,14.41317436,-1304.502602,-18.63575146
0.081266952,1.262718339,75,0.35,1009.006704,13.45342272,-1316.226999,-17.54969333
0.077214509,1.23083251,80,0.35,1008.301537,12.60376921,-1327.097822,-16.58872278
0.071984582,1.188418064,85,0.35,1007.477817,11.8526802,-1337.624875,-15.73676324
0.067105932,1.147439929,90,0.35,1006.872617,11.18747353,-1343.98637,-14.93318189
0.098473028,1.38997871,70,0.35,1205.916779,17.22738255,-1523.262604,-21.76089434
0.093905131,1.357357235,75,0.35,1207.020934,16.09361245,-1538.721885,-20.5162918
0.089516832,1.325262331,80,0.35,1208.164367,15.10205459,-1552.378278,-19.40472847
0.085305418,1.293712603,85,0.35,1208.429993,14.21682345,-1565.310561,-18.41541836
0.081266952,1.262718339,90,0.35,1208.276111,13.42529013,-1578.106144,-17.53451271
0.108151239,1.456683666,70,0.35,1398.164835,19.97378336,-1735.099872,-24.78714103
0.103268951,1.423424329,75,0.35,1401.458723,18.6861163,-1751.803456,-23.35737941
0.100712858,1.405697791,80,0.35,1402.952047,17.53690059,-1765.560352,-22.0695044
0.096127278,1.373323409,85,0.35,1405.150205,16.53117888,-1783.761195,-20.98542582
0.091729804,1.341543421,90,0.35,1405.726598,15.61918443,-1792.218544,-19.91353938
0.11323479,1.490525607,70,0.35,1585.355879,22.64794112,-1934.411241,-27.6344463
0.110714641,1.47384574,75,0.35,1590.436655,21.20582207,-1955.492198,-26.0732293
0.108151239,1.456683666,80,0.35,1592.704785,19.90880981,-1969.108452,-24.61385565
0.103293013,1.423590152,85,0.35,1597.115913,18.78959898,-1992.322235,-23.43908512
0.100824795,1.406478748,90,0.35,1600.661873,17.78513192,-2010.633838,-22.34037597
0.11836879,1.52394083,70,0.35,1772.01646,25.31452085,-2140.238402,-30.57483431
0.115823149,1.507464817,75,0.35,1775.954217,23.67938956,-2157.802464,-28.77069952
0.113269067,1.490751185,80,0.35,1783.184262,22.28980328,-2182.03125,-27.27539063
0.110710467,1.473817953,85,0.35,1785.111817,21.0013155,-2193.944901,-25.81111648
0.108151239,1.456683666,90,0.35,1788.709985,19.87455539,-2209.388082,-24.54875647
0.123773316,1.558342859,70,0.35,1953.531086,27.90758694,-2335.418912,-33.36312732
0.121124492,1.541577935,75,0.35,1958.021745,26.1069566,-2352.670974,-31.36894632
0.118490782,1.524725926,80,0.35,1965.259415,24.56574269,-2373.226119,-29.66532649
0.115874422,1.507798446,85,0.35,1972.78689,23.20925753,-2398.238077,-28.21456561
0.11327763,1.490807533,90,0.35,1978.301318,21.98112575,-2415.356989,-26.83729988
0.146625479,1.696110818,70,0.35,1153.43401,16.47762871,-753.1283817,-10.75897688
0.13415502,1.622381424,75,0.35,1152.290619,15.36387493,-755.5693938,-10.07425858
0.122630445,1.551131629,80,0.35,1149.918338,14.37397922,-758.0419995,-9.475524994
0.111081969,1.476288666,85,0.35,1148.367365,13.5102043,-759.3426262,-8.933442661
0.100486566,1.404117671,90,0.35,1148.54412,12.76160133,-756.1743036,-8.401936706
0.18666024,1.913706852,70,0.35,1447.706311,20.68151872,-920.0025389,-13.14289341
0.174780614,1.851808752,75,0.35,1445.111428,19.26815237,-926.1061038,-12.34808138
0.163529087,1.791212074,80,0.35,1444.010162,18.05012703,-932.0566876,-11.65070859
0.151625761,1.724789097,85,0.35,1441.289377,16.95634561,-938.0410685,-11.03577728
0.141754181,1.667698125,90,0.35,1439.852629,15.99836254,-942.0830195,-10.46758911
0.217857755,2.067454754,70,0.35,1738.108525,24.83012178,-1076.188973,-15.37412818
0.205716835,2.009020735,75,0.35,1736.814437,23.15752582,-1080.986355,-14.4131514
0.194212195,1.952035673,80,0.35,1735.094651,21.68868314,-1093.484724,-13.66855905
0.185224814,1.906334403,85,0.35,1734.580948,20.40683468,-1098.541514,-12.92401781
0.174780614,1.851808752,90,0.35,1732.719307,19.25243674,-1111.084219,-12.34538021
0.240848932,2.173811412,70,0.35,2024.1469,28.91638428,-1224.830857,-17.49758368
0.231723067,2.132230421,75,0.35,2025.207425,27.00276566,-1236.858459,-16.49144613
0.219844387,2.076859858,80,0.35,2023.63004,25.2953755,-1249.385801,-15.61732251
0.211191449,2.035577617,85,0.35,2025.026145,23.823837,-1254.437469,-14.75808787
0.200368019,1.982730575,90,0.35,2022.413292,22.4712588,-1270.515316,-14.11683684
0.262011217,2.267302378,70,0.35,2304.161177,32.91658824,-1365.740695,-19.51058136
0.249218745,2.211260226,75,0.35,2305.398694,30.73864926,-1382.14277,-18.42857027
0.240848932,2.173811412,80,0.35,2307.831112,28.8478889,-1392.503418,-17.40629272
0.232483334,2.135725405,85,0.35,2309.950874,27.17589263,-1408.837402,-16.57455768
0.224175297,2.097217044,90,0.35,2311.85601,25.687289,-1417.947766,-15.75497518
0.277943877,2.335221375,70,0.35,2576.95873,36.81369614,-1497.169655,-21.38813793
0.264720625,2.278995097,75,0.35,2584.086415,34.45448554,-1519.817355,-20.2642314
0.256719051,2.244287813,80,0.35,2590.42837,32.38035463,-1538.365851,-19.22957313
0.248748151,2.2091715,85,0.35,2591.141738,30.48402044,-1551.774592,-18.25617167
0.240848932,2.173811412,90,0.35,2595.962652,28.84402947,-1568.915967,-17.43239964
0.287499456,2.375024069,70,0.35,2851.421105,40.73458721,-1639.183758,-23.41691083
0.27954643,2.341943842,75,0.35,2859.413358,38.12551144,-1659.935393,-22.13247191
0.271620226,2.308503594,80,0.35,2866.237743,35.82797179,-1679.695679,-20.99619599
0.263760231,2.274857301,85,0.35,2872.037177,33.78867267,-1698.58687,-19.98337494
0.255997066,2.241129724,90,0.35,2871.067718,31.90075242,-1705.8363,-18.95373666
0.214408449,2.051022614,70,0.35,1494.079589,21.34399413,-584.2953583,-8.347076547
0.195022723,1.956104758,75,0.35,1493.911946,19.91882594,-584.4567125,-7.792756166
